"","V1","V2"
"1",-74.0508493732497,40.6010981895853
"2",-74.0553493215085,40.5988240115937
"3",-74.0583492870144,40.5931385666148
"4",-74.0628492352732,40.592001477619
"5",-74.0658492007791,40.5885902106317
"6",-74.068849166285,40.5829047656527
"7",-74.0718491317909,40.5806305876612
"8",-74.0763490800497,40.5772193206738
"9",-74.0808490283086,40.5738080536865
"10",-74.0823490110615,40.5703967866991
"11",-74.0898489248262,40.5669855197117
"12",-74.0943488730851,40.5635742527244
"13",-74.097348838591,40.5590258967412
"14",-74.1003488040968,40.5578888077455
"15",-74.1063487351086,40.5533404517623
"16",-74.1138486488733,40.5487920957792
"17",-74.1198485798851,40.5465179177876
"18",-74.1258485108969,40.5431066508002
"19",-74.1273484936498,40.5374212058213
"20",-74.1318484419087,40.5328728498382
"21",-74.1378483729204,40.528324493855
"22",-74.1438483039322,40.5317357608424
"23",-74.149848234944,40.534009938834
"24",-74.1813478727558,40.5203648708845
"25",-74.1858478210147,40.5180906928929
"26",-74.1918477520264,40.512405247914
"27",-74.1978476830382,40.5101310699225
"28",-74.2098475450618,40.5101310699225
"29",-74.2173474588265,40.5055827139393
"30",-74.2278473380971,40.5021714469519
"31",-74.2443471483795,40.496486001973
"32",-74.2503470793913,40.4987601799646
"33",-74.2563470104031,40.5055827139393
"34",-74.2518470621442,40.5158165149014
"35",-74.2443471483795,40.5215019598803
"36",-74.2443471483795,40.5328728498382
"37",-74.2473471138854,40.5419695618045
"38",-74.2473471138854,40.5476550067834
"39",-74.2338472691089,40.5556146297539
"40",-74.2248473725912,40.5556146297539
"41",-74.2158474760735,40.5590258967412
"42",-74.2113475278147,40.5669855197117
"43",-74.2098475450618,40.576082231678
"44",-74.205347596803,40.5897272996275
"45",-74.1993476657912,40.597686922598
"46",-74.2008476485441,40.6067836345643
"47",-74.20384761405,40.6147432575347
"48",-74.2023476312971,40.6272512364884
"49",-74.1933477347794,40.6408963044378
"50",-74.1828478555088,40.645444660421
"51",-74.1753479417441,40.645444660421
"52",-74.1648480624735,40.6408963044378
"53",-74.1453482866852,40.6420333934336
"54",-74.122848545391,40.6431704824294
"55",-74.1123486661204,40.645444660421
"56",-74.0943488730851,40.6477188384125
"57",-74.0793490455556,40.6511301053999
"58",-74.0718491317909,40.6477188384125
"59",-74.070349149038,40.6431704824294
"60",-74.068849166285,40.6340737704631
"61",-74.070349149038,40.6272512364884
"62",-74.0673491835321,40.6192916135179
"63",-74.0628492352732,40.6147432575347
"64",-74.0583492870144,40.6101949015516
"65",-74.0538493387556,40.6045094565727
"66",-74.0328495802143,40.6067836345643
"67",-74.0358495457202,40.6113319905474
"68",-74.0403494939791,40.6227028805053
"69",-74.043349459485,40.6374850374505
"70",-74.0313495974614,40.6499930164041
"71",-74.0223497009437,40.655678461383
"72",-74.0133498044261,40.6636380843535
"73",-74.016349769932,40.6681864403367
"74",-74.0193497354379,40.6670493513409
"75",-74.0223497009437,40.6750089743114
"76",-74.0208497181908,40.6818315082861
"77",-74.014849787179,40.6841056862777
"78",-74.0088498561672,40.6886540422608
"79",-74.0028499251555,40.6966136652313
"80",-73.9938500286378,40.7022991102103
"81",-73.9833501493672,40.7057103771976
"82",-73.9758502356025,40.7079845551892
"83",-73.9698503045907,40.7136700001681
"84",-73.9638503735789,40.7216296231386
"85",-73.9638503735789,40.7295892461091
"86",-73.9638503735789,40.7420972250628
"87",-73.9563504598142,40.7557422930122
"88",-73.962350390826,40.7546052040164
"89",-73.9683503218377,40.7500568480333
"90",-73.9683503218377,40.7386859580754
"91",-73.9698503045907,40.7318634241007
"92",-73.9698503045907,40.725040890126
"93",-73.9713502873436,40.7193554451471
"94",-73.9788502011084,40.7136700001681
"95",-73.9818501666142,40.709121644185
"96",-73.987850097626,40.709121644185
"97",-73.9968499941437,40.709121644185
"98",-74.0043499079084,40.7045732882018
"99",-74.0118498216731,40.7034361992061
"100",-74.016349769932,40.7045732882018
"101",-74.0223497009437,40.7159441781597
"102",-74.0178497526849,40.7261779791218
"103",-74.014849787179,40.7386859580754
"104",-74.0133498044261,40.7534681150206
"105",-74.0013499424025,40.772798627949
"106",-73.962350390826,40.820556365772
"107",-73.9548504770612,40.8296530777383
"108",-73.9458505805436,40.8467094126751
"109",-73.9428506150377,40.8603544806245
"110",-73.9128509599788,40.9149347524222
"111",-73.8618515463787,40.9035638624644
"112",-73.8513516671081,40.9115234854349
"113",-73.8378518223316,40.9047009514602
"114",-73.8378518223316,40.8956042394939
"115",-73.7808524777197,40.8819591715444
"116",-73.7808524777197,40.8796849935529
"117",-73.7838524432256,40.8717253705824
"118",-73.7913523569903,40.8671770145992
"119",-73.7853524259785,40.8603544806245
"120",-73.7808524777197,40.8512577686582
"121",-73.7808524777197,40.8421610566919
"122",-73.7823524604726,40.8330643447256
"123",-73.7883523914844,40.8421610566919
"124",-73.7973522880021,40.8489835906666
"125",-73.800352253508,40.8535319466498
"126",-73.798852270755,40.8489835906666
"127",-73.8078521672727,40.8546690356456
"128",-73.8108521327786,40.8614915696203
"129",-73.8108521327786,40.8535319466498
"130",-73.8123521155315,40.8455723236793
"131",-73.8138520982845,40.8330643447256
"132",-73.8063521845197,40.8262418107509
"133",-73.7958523052491,40.8125967428015
"134",-73.7928523397432,40.8069112978226
"135",-73.8093521500256,40.8114596538057
"136",-73.8213520120492,40.8103225648099
"137",-73.8288519258139,40.8091854758141
"138",-73.8333518740727,40.8035000308352
"139",-73.8438517533434,40.8080483868184
"140",-73.8498516843551,40.8057742088268
"141",-73.8618515463787,40.804637119831
"142",-73.8768513739081,40.8012258528436
"143",-73.881351322167,40.7966774968605
"144",-73.8723514256493,40.7909920518816
"145",-73.8573515981198,40.7898549628858
"146",-73.8483517016022,40.7978145858563
"147",-73.8333518740727,40.7989516748521
"148",-73.8123521155315,40.7989516748521
"149",-73.7958523052491,40.7955404078647
"150",-73.7898523742374,40.7909920518816
"151",-73.7763525294609,40.8000887638479
"152",-73.7688526156961,40.7909920518816
"153",-73.7688526156961,40.7864436958984
"154",-73.7628526846844,40.7784840729279
"155",-73.7553527709196,40.7853066069026
"156",-73.7043533573195,40.7580164710038
"157",-73.6983534263078,40.740960136067
"158",-73.7013533918137,40.7352746910881
"159",-73.7043533573195,40.7307263351049
"160",-73.7088533055784,40.7261779791218
"161",-73.7163532193431,40.7227667121344
"162",-73.7208531676019,40.7216296231386
"163",-73.7253531158608,40.7148070891639
"164",-73.7253531158608,40.7045732882018
"165",-73.7238531331078,40.6897911312566
"166",-73.7238531331078,40.6727347963198
"167",-73.7223531503549,40.6590897283704
"168",-73.7223531503549,40.6522671943957
"169",-73.7283530813666,40.6488559274083
"170",-73.7373529778843,40.6488559274083
"171",-73.7388529606373,40.639759215442
"172",-73.7343530123784,40.6340737704631
"173",-73.744852891649,40.6352108594589
"174",-73.7538527881667,40.6317995924715
"175",-73.7613527019314,40.62952541448
"176",-73.7628526846844,40.623839969501
"177",-73.7643526674373,40.613606168539
"178",-73.7553527709196,40.613606168539
"179",-73.7403529433902,40.6101949015516
"180",-73.7373529778843,40.5988240115937
"181",-73.7403529433902,40.5931385666148
"182",-73.7493528399079,40.592001477619
"183",-73.7568527536726,40.5885902106317
"184",-73.7658526501902,40.5908643886232
"185",-73.7838524432256,40.5885902106317
"186",-73.8918512014376,40.5556146297539
"187",-73.9053510462141,40.5556146297539
"188",-73.9203508737435,40.5487920957792
"189",-73.935350701273,40.5408324728087
"190",-73.9413506322847,40.544243739796
"191",-73.9413506322847,40.5510662737707
"192",-73.9368506840259,40.560162985737
"193",-73.9188508909906,40.5635742527244
"194",-73.9038510634611,40.565848430716
"195",-73.8918512014376,40.5703967866991
"196",-73.8768513739081,40.5715338756949
"197",-73.8573515981198,40.5783564096696
"198",-73.8393518050845,40.5863160326401
"199",-73.8123521155315,40.5965498336022
"200",-73.7868524087315,40.6022352785811
"201",-73.7778525122138,40.6192916135179
"202",-73.7808524777197,40.6272512364884
"203",-73.7868524087315,40.6192916135179
"204",-73.7853524259785,40.6124690795432
"205",-73.7958523052491,40.60792072356
"206",-73.8033522190139,40.6067836345643
"207",-73.8018522362609,40.6147432575347
"208",-73.7943523224962,40.623839969501
"209",-73.7913523569903,40.6317995924715
"210",-73.8123521155315,40.6374850374505
"211",-73.8288519258139,40.6465817494168
"212",-73.8423517705904,40.645444660421
"213",-73.8603515636257,40.6420333934336
"214",-73.8678514773905,40.6408963044378
"215",-73.8768513739081,40.6352108594589
"216",-73.8843512876729,40.6306625034758
"217",-73.8873512531787,40.6227028805053
"218",-73.8888512359317,40.613606168539
"219",-73.8888512359317,40.6056465455685
"220",-73.8828513049199,40.6010981895853
"221",-73.879851339414,40.5954127446064
"222",-73.8753513911552,40.5863160326401
"223",-73.8768513739081,40.5829047656527
"224",-73.879851339414,40.5806305876612
"225",-73.8858512704258,40.5772193206738
"226",-73.8933511841905,40.5772193206738
"227",-73.8978511324494,40.5783564096696
"228",-73.9023510807082,40.5863160326401
"229",-73.9098509944729,40.5851789436443
"230",-73.9143509427317,40.5806305876612
"231",-73.9218508564965,40.5806305876612
"232",-73.9278507875082,40.581767676657
"233",-73.9293507702612,40.576082231678
"234",-73.9368506840259,40.576082231678
"235",-73.9458505805436,40.576082231678
"236",-73.9578504425671,40.5726709646907
"237",-73.9698503045907,40.5715338756949
"238",-73.9788502011084,40.5692596977033
"239",-73.9923500458848,40.5703967866991
"240",-74.0028499251555,40.5715338756949
"241",-74.0118498216731,40.5772193206738
"242",-74.0103498389202,40.581767676657
"243",-74.0043499079084,40.5829047656527
"244",-74.0013499424025,40.5897272996275
"245",-74.0058498906614,40.5954127446064
"246",-74.014849787179,40.5999611005895
"247",-74.0223497009437,40.6045094565727
"248",-74.0313495974614,40.6045094565727
"249",-74.0523493560026,40.5988240115937
